;Responsavel;Nome;CPF;Nascimento;Sexo;cep;celular;email;confirme ;Febre;Falta de Ar;Tosse;Mal Estar;Dor de Garganta;Coriza;dias;Câncer;Diabetes;Doença Cardíaca;Doença Respiratória;Doença Renal;Pressão Alta;Transplante;Desconheço;Login;Senha;
21001;1;Teste Automatizado Vinte E Um Mil E Um;46723130774;18/04/1988;M;64057400;69985423695;teste21001@teste21001.com.br;teste21001@teste21001.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21002;0;Teste Automatizado Vinte E Um Mil E Dois;46723130774;19/04/1988;F;64057400;69985423695;teste21002@teste21002.com.br;teste21002@teste21002.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21003;1;Teste Automatizado Vinte E Um Mil E Tres;46723130774;20/04/1988;M;64057400;69985423695;teste21003@teste21003.com.br;teste21003@teste21003.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21004;0;Teste Automatizado Vinte E Um Mil E Quatro;46723130774;21/04/1988;F;64057400;69985423695;teste21004@teste21004.com.br;teste21004@teste21004.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21005;1;Teste Automatizado Vinte E Um Mil E Cinco;46723130774;22/04/1988;M;64057400;69985423695;teste21005@teste21005.com.br;teste21005@teste21005.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21006;0;Teste Automatizado Vinte E Um Mil E Seis;46723130774;23/04/1988;F;64057400;69985423695;teste21006@teste21006.com.br;teste21006@teste21006.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21007;1;Teste Automatizado Vinte E Um Mil E Sete;46723130774;24/04/1988;M;64057400;69985423695;teste21007@teste21007.com.br;teste21007@teste21007.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21008;0;Teste Automatizado Vinte E Um Mil E Oito;46723130774;25/04/1988;F;64057400;69985423695;teste21008@teste21008.com.br;teste21008@teste21008.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21009;1;Teste Automatizado Vinte E Um Mil E Nove;46723130774;26/04/1988;M;64057400;69985423695;teste21009@teste21009.com.br;teste21009@teste21009.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21010;0;Teste Automatizado Vinte E Um Mil E Dez;46723130774;27/04/1988;F;64057400;69985423695;teste21010@teste21010.com.br;teste21010@teste21010.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
